Fold,Precision,Recall,F1 Score,Time (seconds)
1,0.5457723074714166,0.5382803297997645,0.5150965121662798,0.011085987091064453
2,0.5272765351964268,0.508833922261484,0.48025648664089465,0.010690450668334961
3,0.5148666559067583,0.5165094339622641,0.49413718568816545,0.011118888854980469
4,0.5815868584766324,0.5294811320754716,0.4997153614181924,0.012050151824951172
5,0.5022244558539529,0.5318396226415094,0.49847314672189863,0.010892629623413086
6,0.5193454550043134,0.5341981132075472,0.5047509857896861,0.012022256851196289
7,0.49136326576043066,0.5188679245283019,0.4874711237538611,0.012009382247924805
8,0.5340455474928276,0.5235849056603774,0.493785915478135,0.011457681655883789
9,0.5226121641315287,0.5153301886792453,0.48399873793000203,0.011523246765136719
10,0.49125991292485527,0.4964622641509434,0.4677796253299163,0.012247323989868164
Average,0.5230353158219143,0.5213387836966908,0.49254650809170314,0.01150979995727539
