Fold,Precision,Recall,F1 Score,Time Taken
1.0,0.8923862304098273,0.8900087006960556,0.886664726823324,0.3349573612213135
2.0,0.8884094930531704,0.8855858468677494,0.8820536321606182,0.3341372013092041
3.0,0.8928268978847704,0.8890661252900232,0.8855986431295908,0.3119025230407715
4.0,0.8910827307957088,0.8888486078886311,0.8859244323714386,0.3457963466644287
5.0,0.891886348760736,0.8892111368909513,0.8864741686818665,0.3116147518157959
6.0,0.8922024499304811,0.890798346747879,0.8875420993616684,0.3100709915161133
7.0,0.8870501897556425,0.8833297077804365,0.8799895726377052,0.30969858169555664
8.0,0.8939286745751804,0.8905083025161337,0.8872298173409554,0.31170129776000977
9.0,0.8902835287379408,0.8868102385613806,0.8831854827106379,0.3180115222930908
10.0,0.8873562219749743,0.8841998404756726,0.8805361053419392,0.31273388862609863
