Fold,Precision,Recall,F1 Score,Time (seconds)
1,0.940463922262381,0.9384425754060325,0.9382437936458079,7.165902614593506
2,0.9352226722353806,0.9326421113689095,0.9324748299329972,7.901443004608154
3,0.9362573094785637,0.9333671693735499,0.9333608330401572,8.25148868560791
4,0.9388808603306575,0.9362674013921114,0.9361951278152563,7.525645017623901
5,0.9359539239928187,0.9328596287703016,0.932866215744441,6.897715330123901
6,0.9363921592855239,0.9339424262199986,0.9339538764077977,6.681258916854858
7,0.9339807066975476,0.9311144949604815,0.9311771152951945,8.35366702079773
8,0.9419299293436775,0.9395982887390327,0.9395616393748598,6.654847145080566
9,0.9385049532745531,0.935972735842216,0.9359493436428484,6.8945019245147705
10,0.937765085524228,0.9346675367993619,0.9346866135514464,7.118476390838623
Average,0.9375351522425331,0.9348874368871994,0.9348469388450807,7.3444946050643924
