Fold,Precision,Recall,F1 Score,Time (seconds)
1,0.8923862304098273,0.8900087006960556,0.886664726823324,0.35767030715942383
2,0.8884094930531704,0.8855858468677494,0.8820536321606182,0.33479881286621094
3,0.8928268978847704,0.8890661252900232,0.8855986431295908,0.34810686111450195
4,0.8910827307957088,0.8888486078886311,0.8859244323714386,0.33261537551879883
5,0.891886348760736,0.8892111368909513,0.8864741686818665,0.33038902282714844
6,0.8922024499304811,0.890798346747879,0.8875420993616684,0.3518683910369873
7,0.8870501897556425,0.8833297077804365,0.8799895726377052,0.3226358890533447
8,0.8939286745751804,0.8905083025161337,0.8872298173409554,0.32842230796813965
9,0.8902835287379408,0.8868102385613806,0.8831854827106379,0.3301713466644287
10,0.8873562219749743,0.8841998404756726,0.8805361053419392,0.33431386947631836
Average,0.8907412765878432,0.8878366853714914,0.8845198680559744,0.3370992183685303
