Fold,Precision,Recall,F1 Score,Time (seconds)
1,0.885176667445279,0.8834106314662861,0.8789687156587456,0.5042333602905273
2,0.884234797095325,0.8801997859436318,0.875943279318598,0.5511374473571777
3,0.8902563704720942,0.8859079557616839,0.8818477133617074,0.5887572765350342
4,0.8866928345329561,0.8839814484480913,0.8792315093513111,0.5005507469177246
5,0.8871475508388043,0.8831252229753835,0.8785718225485722,0.6067001819610596
6,0.8847859582490285,0.881198715661791,0.8765070712026604,0.5745835304260254
7,0.885154034259346,0.8828398144844809,0.8781606860010481,0.6371335983276367
8,0.8869918506215193,0.882411701748127,0.8784459501558707,0.5928487777709961
9,0.8818319200351681,0.8794149125936497,0.8751781174363349,0.6144528388977051
10,0.88827668326139,0.8839018124732411,0.8799525064346166,0.5717916488647461
Average,0.886054866681091,0.8826392001556366,0.8782807371469465,0.5742189407348632
