Fold,Precision,Recall,F1 Score,Time (seconds)
1,0.9364210686722347,0.9337852301105958,0.9336846062944745,10.432985067367554
2,0.9349114219100015,0.9323581876560828,0.9322844494898161,10.867368221282959
3,0.9397343875027447,0.9370674277559757,0.9368541523136917,11.287956237792969
4,0.9407480089088744,0.9386371744559401,0.9383532077017396,11.268911600112915
5,0.9343511113440761,0.931501962183375,0.9313497536164451,11.640696048736572
6,0.9342047943666372,0.9314306100606493,0.9311226327881715,11.276184558868408
7,0.9370384308770284,0.9346414555833036,0.9344600275567192,10.568493604660034
8,0.9339643125834471,0.9305743845879415,0.9304731023282796,10.777970790863037
9,0.9338430351404569,0.9310024973242954,0.9309936760174734,10.00538444519043
10,0.9349333530819782,0.9329242186385044,0.9326966351074111,10.064778089523315
Average,0.936014992438748,0.9333923148356664,0.9332272243214224,10.81907286643982
