tags,count
reinforcement-learning,29970
text-classification,19418
text-generation,16615
text-to-image,11142
text2text-generation,10193
automatic-speech-recognition,8668
token-classification,7831
fill-mask,5267
image-classification,5105
question-answering,4462
audio-to-audio,3583
translation,2952
conversational,2586
sentence-similarity,2520
feature-extraction,2212
text-to-speech,1651
summarization,1403
audio-classification,951
unconditional-image-generation,865
object-detection,521
image-segmentation,300
image-to-text,299
video-classification,245
multiple-choice,235
image-to-image,204
zero-shot-classification,192
tabular-classification,183
zero-shot-image-classification,130
tabular-regression,89
table-question-answering,62
text-to-audio,52
depth-estimation,50
visual-question-answering,50
text-to-video,48
document-question-answering,46
voice-activity-detection,18
graph-ml,11
other,10
robotics,9
time-series-forecasting,1
